FILENAME;\Hard Disk2\Result\NT_1400rpm_30C_BS15_5min_20180503_132133.csv
PROTOCOL;NT_1400rpm_30C_BS15_5min
FILE_VERSION;3.3;
DATE START;2018-05-03;13:49:00
DATE END;2018-05-07;08:36:01;;Last Reading;1055;Timestamp;1476408940                     
DEVICE;BL012-CX_13F9C7
USER;NT;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP;1;15;1.00;100.00;179.00;;;SET TEMPERATURE [°C];30.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1400.00
;;;;;;;;;;;;SET CYCLE TIME [min];5
;;;;;;;;;;;;SET EXP TIME [h];-218790464

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS;TEMP CHAMBER;TEMP TABLE;TEMP BOTTLE
K;;;;;0.02381;;;;;;;, PreShaking   ON, , PreShaking   OFF;
R;;;;1;0.02401;390.41;0.0;29.80;55.09;22.23;0.00;test measure for referencing with gain 7 ;29.80;32.30;25.40
C1;A01;X1;;1;0.02687;24.43;0.0;30.30;55.09;22.26;0.00; ;30.30;32.20;25.40
C1;A02;X2;;1;0.02731;23.83;0.0;30.40;55.02;22.27;0.00;;30.40;32.10;25.40
C1;A03;X3;;1;0.02776;26.20;0.0;30.50;55.03;22.26;0.00;;30.50;32.10;25.40
C1;A04;X4;;1;0.02820;25.76;0.0;30.60;55.07;22.26;0.00;;30.60;32.10;25.40
C1;A05;X5;;1;0.02865;26.75;0.0;30.60;54.96;22.26;0.00;;30.60;32.00;25.40
C1;A06;X6;;1;0.02909;26.65;0.0;30.70;54.83;22.26;0.00;;30.70;32.00;25.40
C1;A07;X7;;1;0.02954;29.90;0.0;30.80;54.70;22.27;0.00;;30.80;31.90;25.40
C1;A08;X8;;1;0.03003;29.64;0.0;30.90;54.63;22.26;0.00;;30.90;31.90;25.40
C1;B08;X16;;1;0.03051;20.95;0.0;31.00;54.51;22.26;0.00;;31.00;31.80;25.40
C1;B07;X15;;1;0.03096;21.34;0.0;31.00;54.56;22.27;0.00;;31.00;31.80;25.40
C1;B06;X14;;1;0.03145;21.13;0.0;31.10;54.31;22.27;0.00;;31.10;31.70;25.40
C1;B05;X13;;1;0.03189;21.48;0.0;31.20;54.18;22.26;0.00;;31.20;31.60;25.40
C1;B04;X12;;1;0.03234;21.38;0.0;31.30;54.05;22.27;0.00;;31.30;31.60;25.40
C1;B03;X11;;1;0.03278;21.81;0.0;31.40;53.92;22.23;0.00;;31.40;31.40;25.50
