FILENAME;\Hard Disk2\Result\rj-cg-res_20170927_084112.csv
PROTOCOL;rj-cg-res
FILE_VERSION;3.3;
DATE START;2017-09-27;08:41:02
DATE END;2017-09-28;16:06:01;;Last Reading;179;Timestamp;514585325                      
DEVICE;BL012-CX_13F9C7
USER;rj;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;3;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP;1;10;1.00;100.00;179.00;;;SET TEMPERATURE [°C];30.00
 2;pO2-hc;520;600;48MTP;4;30;30.00;40.00;0.00;;;SET HUMIDITY [rH];85.00
 3;pH-hc;470;525;48MTP;3;28;30.00;40.00;0.00;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1400.00
;;;;;;;;;;;;SET CYCLE TIME [min];10
;;;;;;;;;;;;SET EXP TIME [h];-1

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS;TEMP CHAMBER;TEMP TABLE;TEMP BOTTLE
K;;;;;0.00339;;;;;;;Open Cover, ;
R;;;;1;0.00358;159.32;0.0;26.80;40.77;19.59;0.00;test measure for referencing with gain 7 ;26.80;26.40;25.70
C1;A01;X1;;1;0.00531;13.24;0.0;27.00;43.70;19.60;0.00; ;27.00;26.90;25.80
C1;A02;X2;;1;0.00577;12.76;0.0;27.00;45.20;19.59;0.00;;27.00;27.20;25.80
C1;A03;X3;;1;0.00624;13.70;0.0;27.20;46.77;19.59;0.00;;27.20;27.40;25.90
C1;A04;X4;;1;0.00670;13.18;0.0;27.20;48.39;19.59;0.00;;27.20;27.60;25.90
C1;A05;X5;;1;0.00715;13.02;0.0;27.30;49.87;19.59;0.00;;27.30;27.80;25.90
C1;A06;X6;;1;0.00759;12.62;0.0;27.40;50.02;19.63;0.00;;27.40;28.10;26.00
C1;A07;X7;;1;0.00803;12.92;0.0;27.50;51.65;19.63;0.00;;27.50;28.20;26.10
C1;A08;X8;;1;0.00851;12.95;0.0;27.50;53.29;19.63;0.00;;27.50;28.40;26.10
C1;B08;X16;;1;0.00898;13.22;0.0;27.60;54.78;19.62;0.00;;27.60;28.50;26.10
C1;B07;X15;;1;0.00943;13.15;0.0;27.70;56.19;19.66;0.00;;27.70;28.60;26.20
C1;B06;X14;;1;0.00988;12.75;0.0;27.80;56.21;19.66;0.00;;27.80;28.70;26.20
C1;B05;X13;;1;0.01034;13.83;0.0;27.90;57.58;19.66;0.00;;27.90;28.90;26.30
C1;B04;X12;;1;0.01080;13.37;0.0;28.00;58.88;19.66;0.00;;28.00;29.00;26.30
C1;B03;X11;;1;0.01125;13.16;0.0;28.00;60.13;19.69;0.00;;28.00;29.10;26.30
C1;B02;X10;;1;0.01169;12.80;0.0;28.10;61.36;19.69;0.00;;28.10;29.30;26.40
C1;B01;X9;;1;0.01215;12.94;0.0;28.20;61.84;19.69;0.00;;28.20;29.50;26.40
C1;C01;X17;;1;0.01262;13.25;0.0;28.30;62.55;19.69;0.00;;28.30;29.70;26.40
C1;C02;X18;;1;0.01315;12.88;0.0;28.40;63.58;19.73;0.00;;28.40;29.90;26.50
C1;C03;X19;;1;0.01359;13.08;0.0;28.50;64.63;19.73;0.00;;28.50;30.20;26.50
C1;C04;X20;;1;0.01404;13.27;0.0;28.60;65.61;19.76;0.00;;28.60;30.40;26.60
C1;C05;X21;;1;0.01454;13.16;0.0;28.70;66.52;19.76;0.00;;28.70;30.60;26.60
C1;C06;X22;;1;0.01498;12.98;0.0;28.80;67.23;19.80;0.00;;28.80;30.70;26.60
C1;C07;X23;;1;0.01543;12.98;0.0;28.90;67.43;19.79;0.00;;28.90;30.90;26.70
C1;C08;X24;;1;0.01592;13.01;0.0;29.00;68.21;19.83;0.00;;29.00;31.00;26.70
C1;D08;X32;;1;0.01638;12.96;0.0;29.00;69.00;19.82;0.00;;29.00;31.10;26.80
C1;D07;X31;;1;0.01687;12.81;0.0;29.10;70.56;19.82;0.00;;29.10;31.20;26.80
C1;D06;X30;;1;0.01731;13.22;0.0;29.20;71.34;19.86;0.00;;29.20;31.20;26.80
